"Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date","Tax_res"
"Allium roseum","Allium","","roseum",NA,NA,"","","kew-296421",TRUE,"1.1","Accepted","Amaryllidaceae","Allium","","roseum","","","L.","kew-296421","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Anagallis arvensis","Anagallis","","arvensis",NA,NA,"","","kew-2636008",TRUE,"1.1","Accepted","Primulaceae","Anagallis","","arvensis","","","L.","kew-2636008","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Anagallis monelli","Anagallis","","monelli",NA,NA,"","","kew-2636090",TRUE,"1.1","Accepted","Primulaceae","Anagallis","","monelli","","","L.","kew-2636090","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Anchusa azurea","Anchusa","","azurea",NA,NA,"","","kew-2636472",TRUE,"1.1","Accepted","Boraginaceae","Anchusa","","azurea","","","Mill.","kew-2636472","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Anchusa calcarea","Anchusa","","calcarea",NA,NA,"","","kew-2636487",TRUE,"1.1","Accepted","Boraginaceae","Anchusa","","calcarea","","","Boiss.","kew-2636487","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Anthyllis cytisoides","Anthyllis","","cytisoides",NA,NA,"","","ild-7184",TRUE,"1.1","Accepted","Leguminosae","Anthyllis","","cytisoides","","","L.","ild-7184","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Asphodelus fistulosus","Asphodelus","","fistulosus",NA,NA,"","","kew-275522",TRUE,"1.1","Accepted","Xanthorrhoeaceae","Asphodelus","","fistulosus","","","L.","kew-275522","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Asphodelus ramosus","Asphodelus","","ramosus",NA,NA,"","","kew-275588",TRUE,"1.1","Accepted","Xanthorrhoeaceae","Asphodelus","","ramosus","","","L.","kew-275588","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Bartsia trixago","Bartsia","","trixago",NA,NA,"","","tro-29203655",TRUE,"1.1","Accepted","Orobanchaceae","Bartsia","","trixago","","","L.","tro-29203655","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
"Bituminaria bituminosa","Bituminaria","","bituminosa",NA,NA,"","","ild-7356",TRUE,"1.1","Accepted","Leguminosae","Bituminaria","","bituminosa","","","(L.) C.H.Stirt.","ild-7356","Accepted",FALSE,FALSE,FALSE,2020-07-17,"Species"
